id,team,wiki,region,country,village,kind,section,application,isRemote,year
4176,DUT_China,https://2022.igem.wiki/dut-china,asia,CHN,Foundational Advance,collegiate,undergrad,accepted,TRUE,2022
4766,DUT-China,https://2023.igem.wiki/dut-china,asia,CHN,Diagnostics,collegiate,undergrad,accepted,FALSE,2023
5339,DUT-China,https://2024.igem.wiki/dut-china,asia,CHN,Therapeutics,collegiate,undergrad,accepted,TRUE,2024
3060,DUT_China_A,https://2019.igem.org/Team:DUT_China_A,asia,CHN,New Application,collegiate,undergrad,accepted,FALSE,2019
3061,DUT_China_B,https://2019.igem.org/Team:DUT_China_B,asia,CHN,New Application,collegiate,undergrad,accepted,FALSE,2019
3689,Earthian,https://2020.igem.org/Team:Earthian,north-america,USA,High School,high-school,high-school,deleted,FALSE,2020
3690,Earthist,https://2020.igem.org/Team:Earthist,north-america,USA,High School,high-school,high-school,deleted,FALSE,2020
2290,East_Chapel_Hill,https://2017.igem.org/Team:East_Chapel_Hill,north-america,USA,High School,high-school,high-school,accepted,FALSE,2017
2843,East_Chapel_Hill,https://2018.igem.org/Team:East_Chapel_Hill,north-america,USA,High School,high-school,high-school,accepted,FALSE,2018
3004,East_Chapel_Hill_HS,https://2019.igem.org/Team:East_Chapel_Hill_HS,north-america,USA,High School,high-school,high-school,accepted,FALSE,2019
4515,East_China,https://2022.igem.wiki/east-china,asia,CHN,High School,commercial,high-school,disqualified,TRUE,2022
5272,East-Coast-Biocrew,https://2024.igem.wiki/east-coast-biocrew,north-america,USA,Food & Nutrition,high-school,high-school,accepted,FALSE,2024
4649,EastCoastBioCrew,https://2023.igem.wiki/eastcoastbiocrew,north-america,USA,High School,high-school,high-school,accepted,FALSE,2023
4458,East_Coast_BioCrew,https://2022.igem.wiki/east-coast-biocrew,north-america,USA,High School,commercial,high-school,accepted,FALSE,2022
2778,ECHHS,https://2018.igem.org/Team:ECHHS,north-america,USA,High School,high-school,high-school,deleted,FALSE,2018
5241,ECIB-PKU,https://2024.igem.wiki/ecib-pku,asia,CHN,Space,community-lab,undergrad,accepted,FALSE,2024
3704,ECNUAS,https://2020.igem.org/Team:ECNUAS,asia,CHN,High School,high-school,high-school,accepted,FALSE,2020
3995,ECNUAS,https://2021.igem.org/Team:ECNUAS,asia,CHN,High School,commercial,high-school,accepted,FALSE,2021
4281,ECNUAS,https://2022.igem.wiki/ecnuas,asia,CHN,High School,commercial,high-school,accepted,TRUE,2022
983,ECRCHS_WoodlandHillsCA,https://2013.igem.org/Team:ECRCHS_WoodlandHillsCA,north-america,USA,,high-school,high-school,deleted,FALSE,2013
2804,Ecuador,https://2018.igem.org/Team:Ecuador,latin-america,ECU,Therapeutics,collegiate,undergrad,accepted,FALSE,2018
3422,Ecuador,https://2020.igem.org/Team:Ecuador,latin-america,ECU,,collegiate,collegiate,deleted,FALSE,2020
3893,Ecuador,https://2021.igem.org/Team:Ecuador,latin-america,ECU,Food & Nutrition,collegiate,undergrad,accepted,FALSE,2021
5783,Ecuador,,latin-america,ECU,,collegiate,collegiate,accepted,,2025
2308,ECUST,https://2017.igem.org/Team:ECUST,asia,CHN,Energy,collegiate,undergrad,accepted,FALSE,2017
2737,ECUST,https://2018.igem.org/Team:ECUST,asia,CHN,Environment,collegiate,undergrad,accepted,FALSE,2018
5432,ECUST,https://2024.igem.wiki/ecust,asia,CHN,Agriculture,collegiate,undergrad,accepted,FALSE,2024
3093,ECUST_China,https://2019.igem.org/Team:ECUST_China,asia,CHN,Manufacturing,collegiate,undergrad,accepted,FALSE,2019
3480,ECUST_China,https://2020.igem.org/Team:ECUST_China,asia,CHN,New Application,collegiate,undergrad,accepted,FALSE,2020
3970,ECUST_China,https://2021.igem.org/Team:ECUST_China,asia,CHN,Manufacturing,collegiate,undergrad,accepted,FALSE,2021
5408,Ecust-lyc,,asia,CHN,,collegiate,collegiate,deleted,,2024
378,ECUST-Shanghai,https://2010.igem.org/Team:ECUST-Shanghai,asia,CHN,,collegiate,collegiate,withdrawn,FALSE,2010
3481,ECUST_SH_China,https://2020.igem.org/Team:ECUST_SH_China,asia,CHN,,collegiate,collegiate,deleted,FALSE,2020
446,Edinburgh,https://2006.igem.org/Team:Edinburgh,europe,GBR,,collegiate,collegiate,accepted,FALSE,2006
42,Edinburgh,https://2007.igem.org/Team:Edinburgh,europe,GBR,Foundational Research,collegiate,collegiate,accepted,FALSE,2007
118,Edinburgh,https://2008.igem.org/Team:Edinburgh,europe,GBR,,collegiate,collegiate,accepted,FALSE,2008
216,Edinburgh,https://2009.igem.org/Team:Edinburgh,europe,GBR,Environment,collegiate,collegiate,accepted,FALSE,2009
322,Edinburgh,https://2010.igem.org/Team:Edinburgh,europe,GBR,Foundational Advance,collegiate,collegiate,accepted,FALSE,2010
523,Edinburgh,https://2011.igem.org/Team:Edinburgh,europe,GBR,Food & Energy,collegiate,collegiate,accepted,FALSE,2011
917,Edinburgh,https://2012.igem.org/Team:Edinburgh,europe,GBR,Foundational Advance,collegiate,collegiate,accepted,FALSE,2012
1122,Edinburgh,https://2013.igem.org/Team:Edinburgh,europe,GBR,Environment,collegiate,undergrad,accepted,FALSE,2013
1399,Edinburgh,https://2014.igem.org/Team:Edinburgh,europe,GBR,Foundational Advance,collegiate,undergrad,accepted,FALSE,2014
1615,Edinburgh,https://2015.igem.org/Team:Edinburgh,europe,GBR,Health & Medicine,collegiate,undergrad,accepted,FALSE,2015
3380,Edinburgh,https://2020.igem.org/Team:Edinburgh,europe,GBR,Environment,collegiate,overgrad,accepted,FALSE,2020
3946,Edinburgh,https://2021.igem.org/Team:Edinburgh,europe,GBR,Manufacturing,collegiate,overgrad,accepted,FALSE,2021
4849,Edinburgh,https://2023.igem.wiki/edinburgh,europe,GBR,Climate Crisis,collegiate,overgrad,accepted,FALSE,2023
1968,Edinburgh_OG,https://2016.igem.org/Team:Edinburgh_OG,europe,GBR,New Application,collegiate,overgrad,accepted,FALSE,2016
2330,Edinburgh_OG,https://2017.igem.org/Team:Edinburgh_OG,europe,GBR,Therapeutics,collegiate,overgrad,accepted,FALSE,2017
2739,Edinburgh_OG,https://2018.igem.org/Team:Edinburgh_OG,europe,GBR,Manufacturing,collegiate,overgrad,accepted,FALSE,2018
2940,Edinburgh_OG,https://2019.igem.org/Team:Edinburgh_OG,europe,GBR,Environment,collegiate,overgrad,accepted,FALSE,2019
1967,Edinburgh_UG,https://2016.igem.org/Team:Edinburgh_UG,europe,GBR,Information Processing,collegiate,undergrad,accepted,FALSE,2016
2406,Edinburgh_UG,https://2017.igem.org/Team:Edinburgh_UG,europe,GBR,Foundational Advance,collegiate,undergrad,accepted,FALSE,2017
2725,Edinburgh_UG,https://2018.igem.org/Team:Edinburgh_UG,europe,GBR,Foundational Advance,collegiate,undergrad,accepted,FALSE,2018
2952,Edinburgh_UG,https://2019.igem.org/Team:Edinburgh_UG,europe,GBR,Energy,collegiate,undergrad,accepted,FALSE,2019
4390,Edinburgh-UHAS_Ghana,https://2022.igem.wiki/edinburgh-uhas-ghana,africa,GHA,Environment,collegiate,undergrad,accepted,FALSE,2022
4626,EGYCYTE,https://2023.igem.wiki/egycyte,africa,EGY,,collegiate,collegiate,deleted,TRUE,2023
794,Ehime-Japan,https://2012.igem.org/Team:Ehime-Japan,asia,JPN,New Application,collegiate,collegiate,accepted,FALSE,2012
5173,EHSBNU,https://2024.igem.wiki/ehsbnu,asia,CHN,Conservation,high-school,high-school,accepted,TRUE,2024
5752,EHSBNU,,asia,CHN,,high-school,high-school,pending,,2025
1584,Elan_Vital_Korea,https://2015.igem.org/Team:Elan_Vital_Korea,asia,KOR,High School,high-school,high-school,accepted,FALSE,2015
1301,Elan_Vital_South_Korea,https://2014.igem.org/Team:Elan_Vital_South_Korea,asia,KOR,,high-school,high-school,accepted,FALSE,2014
4375,ELTE,https://2022.igem.wiki/elte,europe,HUN,Therapeutics,collegiate,overgrad,accepted,FALSE,2022
5489,Embark001,https://2024.igem.wiki/embark001,asia,CHN,Agriculture,commercial,high-school,withdrawn,TRUE,2024
5504,Embark002,https://2024.igem.wiki/embark002,asia,CHN,Bioremediation,commercial,high-school,withdrawn,TRUE,2024
5505,Embark003,https://2024.igem.wiki/embark003,asia,CHN,Bioremediation,commercial,high-school,withdrawn,TRUE,2024
5506,Embark004,https://2024.igem.wiki/embark004,asia,CHN,Bioremediation,commercial,high-school,withdrawn,TRUE,2024
5745,Embark-China,,asia,CHN,,commercial,high-school,pending,,2025
2146,Emory,https://2016.igem.org/Team:Emory,north-america,USA,Foundational Advance,collegiate,undergrad,accepted,FALSE,2016
2487,Emory,https://2017.igem.org/Team:Emory,north-america,USA,Environment,collegiate,undergrad,accepted,FALSE,2017
2679,Emory,https://2018.igem.org/Team:Emory,north-america,USA,Food & Nutrition,collegiate,overgrad,accepted,FALSE,2018
2181,EMW_Street_Bio,https://2016.igem.org/Team:EMW_Street_Bio,north-america,USA,Hardware,community-lab,collegiate,accepted,FALSE,2016
1294,Enloe_Raleigh,https://2014.igem.org/Team:Enloe_Raleigh,north-america,USA,,high-school,high-school,accepted,FALSE,2014
522,ENSPS-Strasbourg,https://2011.igem.org/Team:ENSPS-Strasbourg,europe,FRA,Software Tools,collegiate,collegiate,accepted,FALSE,2011
3703,ENUSAS,https://2020.igem.org/Team:ENUSAS,asia,CHN,High School,high-school,high-school,deleted,FALSE,2020
1941,EPFL,https://2016.igem.org/Team:EPFL,europe,CHE,Information Processing,collegiate,overgrad,accepted,FALSE,2016
2203,EPFL,https://2017.igem.org/Team:EPFL,europe,CHE,Diagnostics,collegiate,undergrad,accepted,FALSE,2017
2686,EPFL,https://2018.igem.org/Team:EPFL,europe,CHE,Therapeutics,collegiate,overgrad,accepted,FALSE,2018
2916,EPFL,https://2019.igem.org/Team:EPFL,europe,CHE,Environment,collegiate,overgrad,accepted,FALSE,2019
3600,EPFL,https://2020.igem.org/Team:EPFL,europe,CHE,Food & Nutrition,collegiate,overgrad,accepted,FALSE,2020
4035,EPFL,https://2021.igem.org/Team:EPFL,europe,CHE,Environment,collegiate,overgrad,accepted,FALSE,2021
4439,EPFL,https://2022.igem.wiki/epfl,europe,CHE,Biomanufacturing,collegiate,overgrad,accepted,FALSE,2022
4888,EPFL,https://2023.igem.wiki/epfl,europe,CHE,Therapeutics,collegiate,overgrad,accepted,FALSE,2023
5252,EPFL,https://2024.igem.wiki/epfl,europe,CHE,Bioremediation,collegiate,overgrad,accepted,FALSE,2024
5590,EPFL,,europe,CHE,,collegiate,collegiate,pending,,2025
320,EPF_Lausanne,https://2010.igem.org/Team:EPF_Lausanne,europe,CHE,Health & Medicine,collegiate,collegiate,accepted,FALSE,2010
1111,EPF_Lausanne,https://2013.igem.org/Team:EPF_Lausanne,europe,CHE,New Application,collegiate,overgrad,accepted,FALSE,2013
1486,EPF_Lausanne,https://2014.igem.org/Team:EPF_Lausanne,europe,CHE,New Application,collegiate,undergrad,accepted,FALSE,2014
1723,EPF_Lausanne,https://2015.igem.org/Team:EPF_Lausanne,europe,CHE,Information Processing,collegiate,undergrad,accepted,FALSE,2015
92,EPF-Lausanne,https://2008.igem.org/Team:EPF-Lausanne,europe,CHE,,collegiate,collegiate,accepted,FALSE,2008
191,EPF-Lausanne,https://2009.igem.org/Team:EPF-Lausanne,europe,CHE,Foundational Advance,collegiate,collegiate,accepted,FALSE,2009
613,EPF-Lausanne,https://2011.igem.org/Team:EPF-Lausanne,europe,CHE,Foundational Advance,collegiate,collegiate,accepted,FALSE,2011
838,EPF-Lausanne,https://2012.igem.org/Team:EPF-Lausanne,europe,CHE,Manufacturing,collegiate,collegiate,accepted,FALSE,2012
2511,EpiphanyNYC,https://2017.igem.org/Team:EpiphanyNYC,north-america,USA,High School,high-school,high-school,accepted,FALSE,2017
105,ESBS-Strasbourg,https://2008.igem.org/Team:ESBS-Strasbourg,europe,FRA,,collegiate,collegiate,accepted,FALSE,2008
251,ESBS-Strasbourg,https://2009.igem.org/Team:ESBS-Strasbourg,europe,FRA,,collegiate,collegiate,withdrawn,FALSE,2009
365,ESBS-Strasbourg,https://2010.igem.org/Team:ESBS-Strasbourg,europe,FRA,Foundational Advance,collegiate,collegiate,accepted,FALSE,2010
5534,Estonia-TUBI,,europe,EST,,collegiate,collegiate,withdrawn,,2024
3692,Estonia_TUIT,https://2020.igem.org/Team:Estonia_TUIT,europe,EST,Manufacturing,collegiate,undergrad,accepted,FALSE,2020
4020,Estonia_TUIT,https://2021.igem.org/Team:Estonia_TUIT,europe,EST,Therapeutics,collegiate,undergrad,accepted,FALSE,2021
4440,Estonia_TUIT,https://2022.igem.wiki/estonia-tuit,europe,EST,Biomanufacturing,collegiate,undergrad,accepted,FALSE,2022
4917,Estonia-TUIT,https://2023.igem.wiki/estonia-tuit,europe,EST,Conservation,collegiate,overgrad,accepted,FALSE,2023
3223,Ethenethene,https://2019.igem.org/Team:Ethenethene,asia,CHN,High School,high-school,high-school,deleted,FALSE,2019
2131,Ethiopia1,https://2016.igem.org/Team:Ethiopia1,africa,ETH,,collegiate,collegiate,withdrawn,FALSE,2016
487,ETHZ,https://2005.igem.org/Team:ETHZ,europe,CHE,,collegiate,collegiate,accepted,FALSE,2005
445,ETHZ,https://2006.igem.org/Team:ETHZ,europe,CHE,,collegiate,collegiate,accepted,FALSE,2006
39,ETHZ,https://2007.igem.org/Team:ETHZ,europe,CHE,Information Processing,collegiate,collegiate,accepted,FALSE,2007
422,ETHZ_Basel,https://2010.igem.org/Team:ETHZ_Basel,europe,CHE,Information Processing,collegiate,collegiate,accepted,FALSE,2010
142,ETH_Zurich,https://2008.igem.org/Team:ETH_Zurich,europe,CHE,,collegiate,collegiate,accepted,FALSE,2008
625,ETH_Zurich,https://2011.igem.org/Team:ETH_Zurich,europe,CHE,Information Processing,collegiate,collegiate,accepted,FALSE,2011
909,ETH_Zurich,https://2012.igem.org/Team:ETH_Zurich,europe,CHE,Health & Medicine,collegiate,collegiate,accepted,FALSE,2012
1216,ETH_Zurich,https://2013.igem.org/Team:ETH_Zurich,europe,CHE,Information Processing,collegiate,overgrad,accepted,FALSE,2013
1541,ETH_Zurich,https://2014.igem.org/Team:ETH_Zurich,europe,CHE,Information Processing,collegiate,overgrad,accepted,FALSE,2014
1847,ETH_Zurich,https://2015.igem.org/Team:ETH_Zurich,europe,CHE,Health & Medicine,collegiate,overgrad,accepted,FALSE,2015
2116,ETH_Zurich,https://2016.igem.org/Team:ETH_Zurich,europe,CHE,Diagnostics,collegiate,overgrad,accepted,FALSE,2016
2500,ETH_Zurich,https://2017.igem.org/Team:ETH_Zurich,europe,CHE,Therapeutics,collegiate,overgrad,accepted,FALSE,2017
2845,ETH_Zurich,https://2018.igem.org/Team:ETH_Zurich,europe,CHE,New Application,collegiate,overgrad,accepted,FALSE,2018
3211,ETH_Zurich,https://2019.igem.org/Team:ETH_Zurich,europe,CHE,Therapeutics,collegiate,overgrad,accepted,FALSE,2019
5356,ETH-Zurich,https://2024.igem.wiki/eth-zurich,europe,CHE,Foundational Advance,collegiate,overgrad,accepted,FALSE,2024
5693,ETSU,,north-america,USA,,collegiate,collegiate,pending,,2025
703,Evansville_Central,https://2012.igem.org/Team:Evansville_Central,north-america,USA,,high-school,high-school,accepted,FALSE,2012
812,Evry,https://2012.igem.org/Team:Evry,europe,FRA,Foundational Advance,collegiate,collegiate,accepted,FALSE,2012
1163,Evry,https://2013.igem.org/Team:Evry,europe,FRA,Health & Medicine,collegiate,overgrad,accepted,FALSE,2013
1413,Evry,https://2014.igem.org/Team:Evry,europe,FRA,Environment,collegiate,overgrad,accepted,FALSE,2014
1611,Evry,https://2015.igem.org/Team:Evry,europe,FRA,Health & Medicine,collegiate,overgrad,accepted,FALSE,2015
2042,Evry,https://2016.igem.org/Team:Evry,europe,FRA,Manufacturing,collegiate,overgrad,accepted,FALSE,2016
2448,Evry_Paris-Saclay,https://2017.igem.org/Team:Evry_Paris-Saclay,europe,FRA,Food & Nutrition,collegiate,overgrad,accepted,FALSE,2017
2675,Evry_Paris-Saclay,https://2018.igem.org/Team:Evry_Paris-Saclay,europe,FRA,Foundational Advance,collegiate,overgrad,accepted,FALSE,2018
2983,Evry_Paris-Saclay,https://2019.igem.org/Team:Evry_Paris-Saclay,europe,FRA,Manufacturing,collegiate,overgrad,accepted,FALSE,2019
3453,Evry_Paris-Saclay,https://2020.igem.org/Team:Evry_Paris-Saclay,europe,FRA,New Application,collegiate,overgrad,accepted,FALSE,2020
3766,Evry_Paris-Saclay,https://2021.igem.org/Team:Evry_Paris-Saclay,europe,FRA,Foundational Advance,collegiate,overgrad,accepted,FALSE,2021
4432,Evry_Paris-Saclay,https://2022.igem.wiki/evry-paris-saclay,europe,FRA,Diagnostics,collegiate,overgrad,accepted,FALSE,2022
4601,Evry-Paris-Saclay,https://2023.igem.wiki/evry-paris-saclay,europe,FRA,Therapeutics,collegiate,overgrad,accepted,FALSE,2023
5061,Evry-Paris-Saclay,https://2024.igem.wiki/evry-paris-saclay,europe,FRA,Foundational Advance,collegiate,overgrad,accepted,FALSE,2024
5617,Evry-Paris-Saclay,,europe,FRA,,collegiate,collegiate,accepted,,2025
947,E-Wisconsin-Madison,https://2012.igem.org/Team:E-Wisconsin-Madison,north-america,USA,,collegiate,collegiate,deleted,FALSE,2012
70,Example,https://2007.igem.org/Team:Example,north-america,USA,,collegiate,collegiate,deleted,FALSE,2007
75,Example,https://2008.igem.org/Team:Example,north-america,USA,,collegiate,collegiate,accepted,FALSE,2008
294,Example,https://2009.igem.org/Team:Example,north-america,USA,Software Tools,collegiate,collegiate,accepted,FALSE,2009
499,Example,https://2010.igem.org/Team:Example,north-america,USA,,collegiate,collegiate,accepted,FALSE,2010
722,Example,https://2012.igem.org/Team:Example,north-america,USA,Foundational Advance,collegiate,undergrad,accepted,FALSE,2012
1239,Example,https://2013.igem.org/Team:Example,north-america,USA,,collegiate,overgrad,accepted,FALSE,2013
1540,Example,https://2014.igem.org/Team:Example,north-america,USA,Software,collegiate,overgrad,accepted,FALSE,2014
1581,Example,https://2015.igem.org/Team:Example,north-america,USA,High School,high-school,high-school,accepted,FALSE,2015
1874,Example,https://2016.igem.org/Team:Example,north-america,USA,High School,collegiate,overgrad,accepted,FALSE,2016
2193,Example,https://2017.igem.org/Team:Example,north-america,USA,Diagnostics,collegiate,overgrad,accepted,FALSE,2017
2784,Example,https://2018.igem.org/Team:Example,north-america,USA,Diagnostics,collegiate,overgrad,deleted,FALSE,2018
2931,Example,https://2019.igem.org/Team:Example,north-america,USA,Therapeutics,collegiate,overgrad,accepted,FALSE,2019
3377,Example,https://2020.igem.org/Team:Example,north-america,USA,Open,collegiate,overgrad,accepted,FALSE,2020
3705,Example,https://2021.igem.org/Team:Example,north-america,USA,Energy,collegiate,overgrad,accepted,FALSE,2021
4108,Example,https://2022.igem.wiki/example,north-america,USA,,collegiate,overgrad,accepted,FALSE,2022
4572,Example,https://2023.igem.wiki/example,europe,FRA,,collegiate,overgrad,accepted,TRUE,2023
5032,Example,https://2024.igem.wiki/example,europe,FRA,Therapeutics,collegiate,overgrad,accepted,TRUE,2024
